欧美流行音乐与信息技术,08241504
欧洲音乐简史,63211042,TY000003,ZTY00003
西方音乐魅力赏析,02261037,02271154,TY000011,ZTY00011
信息技术下的欧美音乐工业,08271003
音乐鉴赏,01211841,01211842,01211867,01252939,04211159,MOOC2075,MY100006,TY000012,ZMY10006,ZTY00012
中国民族音乐,63211039,TR000017,ZTR00017
