电影与幸福感,MOOC2027,MR100002,ZMR10002
英语电影视听说,02261038
影视服装设计,04281008
影视鉴赏,01211819,01211847,01211864,01221841,01221842,04241150,04272005,MOOC2077,MY100007,TY000013,ZMY10007,ZTY00013
影视戏剧服装鉴赏,04231186,04231240
中外法律电影赏析,01211863,01221828
