.NET程序设计,08211039,08241041,08241229,08241243,08241253,08241255,08271001,08271223
.NET程序设计课程实验,08031265
.NET程序设计实验,08241531
20世纪西方音乐,MOOC1024
3DMAX基础,04242042
ASP.NET WEB 应用开发实训,08241060,08241507
ASP.NET Web应用开发实训,08241083
ASP.NET程序设计,08241059
AUTOCAD,08241222
Ajax程序设计,08241245
Android应用开发,08241054,08241234,08291009
AutoCAD,08241505,ZTZ00001
AutoCAD上机,11211174
C++程序设计,08291003,12212169
C++程序设计课程设计,08241088,08291505
C++程序设计课程实验,08291504,08291507
C及C++程序设计,08241087,08241211
C及C++程序设计课程设计,08031263
C及C++程序设计课程实验,08031260,08241501
C及C++课程设计,08241502
C语言程序设计,08291002
C语言程序设计课程设计,08291503
C语言程序设计课程实验,08291502
C语言课程设计,08031267
Dreamweaver网页制作,08241049
FLASH动画赏析与制作,04211157
FLASH动画制作,012946
Flash动画制作,01211227
Flash动画制作基础,08241079,08248201
GYB(产生你的企业想法),TC000001
GYB产生你的创业想法,50211015
GYB创业意识培训,50211012
GYB如何选择创业项目,50211010
IPv6技术,08241221
Introduction of Chinese Culture,02271116
JAVA程序设计,08211033,08211134,08212034,08241015,08241067,08241120,08291012
JAVA程序设计课程设计,08031288,08031311,08215030
JAVA程序设计课程实验,08031227,08241530
JAVA程序设计实验,12212156
JAVA应用程序开发,08211020,08211082
JAVA应用开发,08241212,08241508,08271009
JAVA应用开发实训,08241040,08291010,08291040
JAVA语言课程设计,08031298
Java应用开发,08241238
LINUX操作系统原理及内核源码,08241066,08241244,08291011,08291031
Linux操作系统原理及内核源码,08271016
MATLAB在工程教育中的应用,05232144
MATLAB在工科课程中的应用,05221986,05221991
Oracle数据库系统与应用,08291006
SYB创办你的企业,50211011,50211013,TC000002
VF程序设计实战与训练,08241984
Web前端开发技术,08291018,08291023,08291035
Web前端开发技术实验,08291615
Windows网络编程,08241178
Windows网络编程课程实验,08031355
XML技术与应用,08241241
access数据库入门,08241784
《圣经》的文化解读,02261047
《易经》十讲,MR100001
《职业生涯规划》(一),10241033
安全工程,11241026
安全管理,07242296
安全用电常识,05232141,TZ000002,ZTZ00002
奥妙植物学,09261845,09261850,TZ000003,ZTZ00003
办公软件应用（高级）,08241233
宝玉石鉴赏,06251034,18231050,18231051,18231052,TZ000004,ZTZ00004
爆炸世界,11221121
北欧神话鉴赏,01211954
北欧神话与社会,01211263
毕业设计,08271922
毕业设计(论文),08291071
毕业实习,08291508
编译原理,08241014,08241075,08241227,08241252
操作系统,08241187,08241225,08241249
测量学基础,07251001
茶艺,MOOC1077
茶艺赏析,10011003
产生你的企业想法,50211008
常微分方程,08211044,08261011
常用科技软件的使用,11211037
穿T恤听古典音乐,MOOC2104
创办你的企业,50211009
创新、发明与专利实务,MC100001,MOOC2116,ZMC10001
创新创业,MC100002,MOOC2059,ZMC10002
创新创业大赛赛前特训,MC100004,ZMC10004
创新创业学分,50211020
创新人才培养,14231006,14231033
创业创新领导力,MOOC2021,MOOC2022
创业管理精要,TC000003
创业精神与实践,MOOC2109
创业企业战略与机会选择,MOOC1025
创业学,03211049,03211911,TC000007,ZTC00007
创业政策与法规,01211859,01221836,01221848,TC000008,ZTC00008
创业中的财务问题,03271313
创造性思维方法学,14231038
从爱因斯坦到霍金的宇宙,MOOC2013,MZ100002,ZMZ10002
大话新能源,09261351
大学日语2,02232014,02232015
大学社交礼仪,04231171,04272004
大学生安全教育,MOOC2138,MS100001,ZMS10001
大学生公民素质教育,MOOC2105,MS100012,ZMS10012
大学生就业指导教育(一),50211004,50211005,50211006
大学生就业指导教育（二）,01231204,08241090,08241091
大学生劳动就业法律问题解读,MOOC1023
大学生恋爱与性健康,MOOC2024,MS100002,ZMS10002
大学生人际关系与沟通能力,TS000001,ZTS00001
大学生身边的法律问题,01211267,TR000001
大学生生命教育,14211027,TR000002
大学生实用文书写作,01211265,01211871,012952
大学生视力保健,10241001
大学生心理健康及素养,14241012,14241017,ZTR00021
大学生信息素养,08271004
大学生性教育,10221072
大学生职业生涯规划,MOOC2057
大学物理12,11241002,11241011,11241012,11241014,11241016,11241024,11241025
大学物理实验1,11021003,11021005,11021007
大学英语1,02211001,02211002,02211003,02211004,02211009,02211010,02211011,02261100,02271065
大学英语3(英美国家社会与文化入门）,02211020
大学英语3（翻译与写作),02211021
大学英语3（口语),02211019
大学英语3（英文电影赏析）,02211022
大学英语3（综合训练）,02211018
大学英语口语,ZTS00035
大学英语四级辅导班,ZTS00022
单片机应用技术,05241239,05241988,08241064,08241074
当代世界经济与政治,14231005,14231029,14231039
当代西方文艺理论,02261046
当代中国与世界认识方法,MOOC2140
道路工程概论,07211299
地质灾害与逃生,TS003000,TZ000005,ZTZ00005
电路电子与射频技术,05251990
电路与电子技术,05251129,05251991
电路原理,05251125,08291039,12212996
电路原理课程实验,05021135
电脑软硬件使用及维修,05221993
电影与幸福感,MOOC2027,MR100002,ZMR10002
电子竞赛入门,TZ000006,ZTZ00006
电子琴,01211868
东方电影,MOOC2203
动画赏析,04241156,04271104,04281006
多彩的食品添加剂,09021018,TZ000007
多媒体软件应用基础,08241031
多媒体应用技术,08241061
俄语交际口语,02271109
儿童文学赏析,14211022
发展心理学,06231194,06241211
法律与人际关系,01211860,01221820
房地产法,01211862,01211870,01221800,01221815
房屋建筑概论,07242203,07242295
房屋建筑工程概论,07242202
防灾减灾概论,07242293
风俗文化概论,01211262,01211858,01231823,012947
概率,08261090
概率论与数理统计(理工),08261003
概率与数理统计,08211007,08211008,08261072
钢琴艺术赏析,MOOC2148,MY100001,ZMY10001
钢铁是怎样炼成的,18211040
高等代数(2),08211055,08261030
高等代数1,08211036,08211037,08211105
高等数学(经管)A1,08251071,08251072
高等数学(理工)B1,08251061,08251062,08251081,08251082,08251083,08251084
高等数学(医学),08251091
高等数学C,08251090
高等数学进阶,08251093
高等数学提高班,08251064
个人投资理财,03271301,TS000019,TS000800
个人投资理财基础,03211025
工程力学1,07231089
工程通史,05232143
工程图学2,06221028,06221131,12261101
工程项目管理,07221156
工程制图,06221024,06221049
工程制图与CAD,11211173
工业设计工程图学,06231241
工业设计与美术史,06231199
公共关系礼仪实务,MOOC2110
公共管理学,01242001
公文写作实务,ZTR00025
公务员考试应试技巧,01221811,01221814
公务员面试与申论考试基础,TS000500
古代艺术品鉴赏,04271018
古筝演奏与教学,01211869
关爱生命——急救与自救技能,MOOC1015
管理百年,MOOC1081
管理的实践,03271302
管理基础,03211135,03211138,03211149,TS000002,ZTS00002
管理学,03211039,03211048,03211306,06241182
管理学精要,MOOC2101
管理学实务,06241218
管理中的物理学,03211133
广告营销策划与三十六计,04211156
国学基础,01211865,TR000003,ZTR00003
国学基础（上）,01211853,01211854,ZTR00029
国学智慧,MOOC2007,MR100004,ZMR10004
韩国文化及韩语初学,06231189
韩国文化与韩语入门,06231193
合唱与指挥,63211035
合同法,03211132
黑客攻防基础,08241080
红色歌曲与史识教育,14211026
户外运动常识,02261056
花卉学,06241183,06241212
花卉学概论,06241213,06241248
画法几何,06221108
化学与人类,MOOC2015,MZ100003,ZMZ10003
化学与人类文明,MOOC2115,MZ100004,ZMZ10004
化妆造型,04271111,04272009
环境保护与可持续发展,18221042
黄帝内经,ZMZ10005
汇编语言,08241385
婚姻法,01211861,01221802,01221813
婚姻家庭继承法学,01211261,01221850
混沌现象及生活应用,05221985
基础韩国语入门,ZTS00005
基础英语1,02271009,02271070
机器人技术及应用,TZ000008,ZTZ00008
急救基本知识与技术,MOOC1034
计算机程序员培训,08241231,08271008
计算机导论,08241152,08291005
计算机导论课程实验,08031002,08031176
计算机基础1,08221005,08232998
计算机基础2(Access),08231013
计算机基础2(VFP),08231012
计算机基础2实验,08232997
计算机基础2实验(Access),08231022
计算机基础2实验(VFP),08231021
计算机路由交换技术基础,TS000200
计算机软硬件使用以及维护,05221996
计算机通信原理,08271024
计算机图形学,08241057,08241193,08241235
计算机图形学课程实验,08031192
计算机网络,08241038,08241226
计算机网络管理,08211045,08241217
计算机网络实训,08031273
计算机系统结构,08241116,08241228
计算机应用技术,08241251,08291015
计算机应用技术实验,08291501
计算机组成原理,08241186,08241200,08241224,08242017
家电原理与健康保健,05221147,05221984
家电原理与生活保健,05221992,05232142
家庭保健,TS000006,TS000700,ZTS00006
家庭园艺鉴赏与实践,02261041
家用电器原理与现代生活保健,05221995
健康膳食解码,MOOC1026,MZ200006,ZMZ20006
健康生活 预防癌症,MOOC1035,MZ200007,ZMZ20007
建设工程监理概论,07211304
建筑美术1,07241304
建筑美学,07242298
建筑设计基础1,07241305
建筑图形学1,07241169
建筑欣赏,07242294
建筑学概论,07241339
胶体与表面化学,09261840
教育心理学,01211840
教育学,01211845
解析几何,08241045,08261026
精彩的世界与物理,11241020
精彩纷呈的钒钛世界,11241038
经济法学,01241050,03211258
经济学常识与中国经济问题,03271317
军事理论,MOOC1001
军事训练,60211004
考古与人类,MOOC2004,MZ100008,ZMZ10008
科幻赏析,01211874
科幻作品赏析,01221833,012951
科技翻译基础,02271115
科技翻译实训,02261054
科技前沿与创新,TZ000019,ZTZ00019
科技史上100个伟大发现,11221120
科技文献检索上机,11211159
课程主题实践教学1,14231996,14231997,14231998
口才学,01211266,TR000004,ZTR00004
口才艺术与社交礼仪,MOOC2112,MR100005,ZMR10005
跨文化交际,02261040,07211306,07242297,TR000005,ZTR00005
跨文化交际学概论,02271113
篮球裁判,13211017,13211021,13211023
朗诵与演讲,01211846
劳动法,01221825,01221826
离散数学,08211111,08241007,08241050
力学与建设及事故分析,07211300,TZ000009
领导教育学,03211134
旅游、美食与文化,03271316
旅游与大学生修养,TS000007,ZTS00007
马克思主义基本原理,14231001,14231002,14231030,20231030
毛泽东思想和中国特色社会主义理论概论,20231031
毛泽东思想和中国特色社会主义理论体系概论,14231004,14231013,14231031,14232014,14232032
美的历程解析,06231196
美国文化概况,02261039,02271153
美容外科导论,10241023,TZ000010,ZTZ00010
美术鉴赏,04251176,04272002,MOOC2001,MY100002,TY000001,ZMY10002,ZTY00001
民间故事赏析,14211023
民俗资源与旅游,MOOC2106
民族文化与设计创意,TS000400,TY000002,ZTY00002
名著欣赏与写作技巧,01211264
名作鉴赏与写作技巧,01211875
模拟电子技术,05251104
你应该懂点管理知识,TS001300
