课程代码,课程名称,考核方式,学分,修读学年
MY100003,西方美术欣赏,考查,2,3
MY100004,戏曲鉴赏,考查,2,3
MY100005,艺术美学,考查,2,3
MY100006,音乐鉴赏,考查,2,5
MY100007,影视鉴赏,考查,2,5
MZ100001,移动互联网时代的信息安全与防护,考查,1,3
MZ100002,从爱因斯坦到霍金的宇宙,考查,2,3
MZ100003,化学与人类,考查,2,3
MZ100004,化学与人类文明,考查,1,5
MZ100008,考古与人类,考查,2,3
MZ100009,魅力科学,考查,1,3
MZ100011,生命安全与救援,考查,2,5
MZ100012,食品安全与日常饮食,考查,2,3
MZ100013,数学文化,考查,2,3
MZ100014,突发事件及自救互救,考查,2,3
MZ100015,星海求知：天文学的奥秘,考查,2,3
MZ100016,园林艺术概论,考查,2,3
MZ100017,中国古建筑欣赏与设计,考查,1,3
MZ100018,中国历史人文地理,考查,2,3
MZ100019,中医药与中华传统文化,考查,2,3
MZ200006,健康膳食解码,考查,2,3
MZ200007,健康生活 预防癌症,考查,2,3
MZ200010,汽车行走的艺术,考查,2,5
TC000001,GYB(产生你的企业想法),考查,1,1
TC000002,SYB(创办你的企业),考查,3.5,1
TC000003,创业管理精要,考查,2,2
TC000007,创业学,考查,1.5,3
TC000008,创业政策与法规,考查,1.5,3
TR000001,大学生身边的法律问题,考查,1.5,3
TR000002,大学生生命教育,考查,1.5,3
TR000003,国学基础,考查,2,1
TR000004,口才学,考查,1.5,3
TR000005,跨文化交际,考查,1,3
TR000006,人际关系与沟通艺术,考查,1,3
TR000007,社会心理学,考查,2,3
TR000008,四川旅游文化,考查,1.5,3
TR000009,武术欣赏,考查,1,3
TR000010,武术与武术文化,考查,1.5,3
TR000011,心理委员实务,考查,2,1
TR000013,中国传统文化,考查,1.5,3
TR000015,中国近现代历史人物评说,考查,1.5,3
TR000016,中国民间故事,考查,1.5,3
TR000017,中国民族音乐,考查,1,3
TR000018,中国现当代诗歌赏析,考查,1.5,3
TR000019,中国饮食文化,考查,1,3
TR000020,宗教文化,考查,1,3
TS000001,大学生人际关系与沟通能力,考查,1.5,3
TS000002,管理基础,考查,1.5,3
TS000006,家庭保健,考查,1.5,3
TS000007,旅游与大学生修养,考查,1,3
TS000008,企业管理,考查,1.5,3
TS000011,社交礼仪,考查,1.5,3
TS000012,市场营销基础,考查,1.5,3
TS000013,网络传播方式与商业机会,考查,1.5,3
TS000014,西方主流文化解读,考查,1.5,3
TS000015,系统思维与创新,考查,1.5,5
TS000016,新时期身心灵合一成长：视听与反思,考查,1.5,3
TS000018,羽毛球裁判课程,考查,1,5
TS000019,个人投资理财,考查,1.5,3
TS000020,征信管理,考查,1,5
TS000032,中国绘画艺术解读,考查,1,4
TS000033,数码摄影,考查,1.5,2
TS000034,陶瓷设计,考查,1.5,2
TS000035,中外美术作品解读,考查,1.5,2
TS000038,世界名画,考查,1,2
TS000039,舞蹈形体,考查,1,2
TS000043,攀西战略资源开发史,考查,1.5,2
TS000044,系统思维与创新,考查,1.5,2
TS000045,营养卫生学,考查,1.5,2
TS000100,书法鉴赏（硬笔书法）,考查,1,2
TS000200,计算机路由交换技术基础,考查,1.5,3
TS000400,民族文化与设计创意,考查,1.5,2
TS000500,公务员面试与申论考试基础,考查,1.5,1
TS000700,家庭保健,考查,1.5,1
TS000800,个人投资理财,考查,1.5,1
TS001000,羽毛球裁判课程,考查,1,1
TS001100,人际关系与沟通艺术,考查,1,1
TS001200,日语入门及文化,考查,1,1
TS001300,你应该懂点管理知识,考查,1,1
TS001400,社交礼仪,考查,1.5,1
TS001500,网络传播方式与商业机会,考查,1.5,1
TS001600,中餐文化及礼仪,考查,1.5,1
TS001700,中国传统文化导论,考查,1.5,1
TS003000,地质灾害与逃生,考查,1,1
TY000001,美术鉴赏,考查,1,3
TY000002,民族文化与设计创意,考查,1.5,3
TY000003,欧洲音乐简史,考查,1,3
TY000004,世界名画,考查,1,3
TY000005,书法鉴赏,考查,1,3
TY000006,书法鉴赏（毛笔）,考查,1,3
TY000007,书法鉴赏(硬笔),考查,1,3
TY000008,数码摄影,考查,1.5,3
TY000010,舞蹈形体,考查,1,1
TY000011,西方音乐魅力赏析,考查,1,3
TY000012,音乐鉴赏,考查,1,3
TY000013,影视鉴赏,考查,1,3
TY000014,中国绘画艺术解读,考查,1,3
TZ000002,安全用电常识,考查,1,3
TZ000003,奥妙植物学,考查,1,3
TZ000004,宝玉石鉴赏,考查,1.5,3
TZ000005,地质灾害与逃生,考查,1,3
TZ000006,电子竞赛入门,考查,1,3
TZ000007,多彩的食品添加剂,考查,1,3
TZ000008,机器人技术及应用,考查,1,3
TZ000009,力学与建设及事故分析,考查,1,5
TZ000010,美容外科导论,考查,1,5
TZ000012,无人机应用,考查,1,3
TZ000014,营养卫生学,考查,1.5,3
TZ000016,中国茶文化,考查,1,3
TZ000017,自然科学史,考查,1.5,3
TZ000018,走进新能源,考查,1,3
TZ000019,科技前沿与创新,考查,1,1
ZMC10001,创新、发明与专利实务,考查,2,2
ZMC10002,创新创业,考查,2,2
ZMC10004,创新创业大赛赛前特训,考查,2,6
ZMR10002,电影与幸福感,考查,2,2
ZMR10004,国学智慧,考查,2,2
ZMR10005,口才艺术与社交礼仪,考查,2,2
ZMR10007,秦汉史,考查,2,4
ZMR10008,宋崇导演教你拍摄微电影,考查,2,2
ZMR10009,西藏的历史与文化,考查,2,2
ZMR10010,中国古代礼仪文明,考查,2,2
ZMR10011,中国书法历史,考查,2,2
ZMS10001,大学生安全教育,考查,2,2
ZMS10002,大学生恋爱与性健康,考查,2,2
ZMS10005,情绪管理,考查,2,4
ZMS10008,文化遗产概览,考查,2,2
ZMS10009,有效沟通技巧,考查,2,4
ZMS10012,大学生公民素质教育,考查,2,2
ZMY10001,钢琴艺术赏析,考查,2,4
ZMY10002,美术鉴赏,考查,2,4
ZMY10003,西方美术欣赏,考查,2,4
ZMY10004,戏曲鉴赏,考查,2,4
ZMY10006,音乐鉴赏,考查,2,2
ZMY10007,影视鉴赏,考查,2,4
ZMZ10001,移动互联网时代的信息安全与防护,考查,2,2
ZMZ10002,从爱因斯坦到霍金的宇宙,考查,2,2
ZMZ10003,化学与人类,考查,2,2
ZMZ10004,化学与人类文明,考查,2,2
ZMZ10005,黄帝内经,考查,2,2
ZMZ10008,考古与人类,考查,2,2
ZMZ10009,魅力科学,考查,2,2
ZMZ10011,生命安全与救援,考查,2,2
ZMZ10012,食品安全与日常饮食,考查,2,2
ZMZ10013,数学文化,考查,2,2
ZMZ10014,突发事件及自救互救,考查,2,2
ZMZ10015,星海求知：天文学的奥秘,考查,2,4
ZMZ10016,园林艺术概论,考查,2,2
ZMZ10017,中国古建筑欣赏与设计,考查,2,2
ZMZ10018,中国历史人文地理,考查,2,4
ZMZ20006,健康膳食解码,考查,2,2
ZMZ20007,健康生活 预防癌症,考查,2,2
ZMZ20010,汽车行走的艺术,考查,2,2
ZMZ20019,中医药与中华传统文化,考查,2,4
ZTC00007,创业学,考查,1.5,4
ZTC00008,创业政策与法规,考查,1.5,2
ZTR00003,国学基础,考查,2,2
ZTR00004,口才学,考查,1.5,2
ZTR00005,跨文化交际,考查,1,2
ZTR00006,人际关系与沟通艺术,考查,1,2
ZTR00007,社会心理学,考查,2,2
ZTR00008,四川旅游文化,考查,1.5,2
ZTR00009,武术欣赏,考查,1,2
ZTR00013,中国传统文化,考查,1.5,2
ZTR00014,中国传统文化导论,考查,1.5,4
ZTR00015,中国近现代历史人物评说,考查,1.5,2
ZTR00017,中国民族音乐,考查,1,2
ZTR00018,诗与远方——中国现当代诗歌赏析,考查,1.5,4
ZTR00019,中国饮食文化,考查,1,2
ZTR00020,宗教文化,考查,1,2
ZTR00021,大学生心理健康与素养,考查,1.5,2
ZTR00025,公文写作实务,考查,1,4
ZTR00029,国学基础（下）,考查,2,2
ZTS00001,大学生人际关系与沟通能力,考查,1.5,2
ZTS00002,管理基础,考查,1.5,2
ZTS00005,基础韩国语入门,考查,2,2
ZTS00006,家庭保健,考查,1.5,2
ZTS00007,旅游与大学生修养,考查,1,2
ZTS00008,企业管理,考查,1.5,2
ZTS00011,社交礼仪,考查,1.5,4
ZTS00012,市场营销基础,考查,1.5,6
ZTS00013,网络传播方式与商业机会,考查,1.5,4
ZTS00014,西方主流文化解读,考查,1.5,2
ZTS00015,系统思维与创新,考查,1.5,2
ZTS00016,新时期身心灵合一成长：视听与反思,考查,1.5,2
ZTS00018,羽毛球裁判课程,考查,1,2
ZTS00022,大学英语四级辅导班,考查,1.5,4
ZTS00035,大学英语口语,考查,1.5,2
ZTY00001,美术鉴赏,考查,1,2
ZTY00002,民族文化与设计创意,考查,1.5,2
ZTY00003,欧洲音乐简史,考查,1,2
ZTY00004,世界名画,考查,1,2
ZTY00005,书法鉴赏,考查,1,2
ZTY00006,书法鉴赏（毛笔）,考查,1,2
ZTY00007,书法鉴赏(硬笔),考查,1,2
ZTY00008,数码摄影,考查,1.5,4
ZTY00009,陶瓷设计,考查,1.5,2
ZTY00010,舞蹈形体,考查,1,4
ZTY00011,西方音乐魅力赏析,考查,1,2
ZTY00012,音乐鉴赏,考查,1,2
ZTY00013,影视鉴赏,考查,1,2
ZTY00015,现代美学创意与生活,考查,1.5,2
ZTZ00001,AutoCAD,考查,2,2
ZTZ00002,安全用电常识,考查,1,2
ZTZ00003,奥妙植物学,考查,1,2
ZTZ00004,宝玉石鉴赏,考查,1.5,2
ZTZ00005,地质灾害与逃生,考查,1,2
ZTZ00006,电子竞赛入门,考查,1,2
ZTZ00008,机器人技术及应用,考查,1,2
ZTZ00010,美容外科导论,考查,1,4
ZTZ00012,无人机应用,考查,1,2
ZTZ00014,营养卫生学,考查,1.5,2
ZTZ00015,智慧办公与操作快捷技术,考查,2,2
ZTZ00016,中国茶文化,考查,1,2
ZTZ00017,自然科学史,考查,1.5,2
ZTZ00019,科技前沿与创新,考查,1,2
ZTZ00024,中外建筑史,考查,1,2
ZTZ00025,土木工程安全管理,考查,1,2
ZTZ00030,走进新能源,考查,1,2
cyxy0001,网店经营与管理,考查,2,2
